 2.35000000e+02 -3.62928740e-03  2.35000000e+02 -7.98443228e-04  2.35000000e+02 -8.00000000e+00 
 2.40000000e+02 -3.81786463e-03  2.40000000e+02 -8.39930218e-04  2.40000000e+02 -8.00000000e+00 
 2.45000000e+02 -4.01131484e-03  2.45000000e+02 -8.82489264e-04  2.45000000e+02 -8.00000000e+00 
 2.50000000e+02 -4.20963924e-03  2.50000000e+02 -9.26120632e-04  2.50000000e+02 -8.00000000e+00 
 2.55000000e+02 -4.41283893e-03  2.55000000e+02 -9.70824566e-04  2.55000000e+02 -8.00000000e+00 
 2.60000000e+02 -4.62091496e-03  2.60000000e+02 -1.01660129e-03  2.60000000e+02 -8.00000000e+00 
 2.65000000e+02 -4.83386827e-03  2.65000000e+02 -1.06345102e-03  2.65000000e+02 -8.00000000e+00 
 2.70000000e+02 -5.05169975e-03  2.70000000e+02 -1.11137395e-03  2.70000000e+02 -8.00000000e+00 
 2.75000000e+02 -5.27441022e-03  2.75000000e+02 -1.16037025e-03  2.75000000e+02 -8.00000000e+00 
 2.80000000e+02 -5.50200044e-03  2.80000000e+02 -1.21044010e-03  2.80000000e+02 -8.00000000e+00 
 2.85000000e+02 -5.73447112e-03  2.85000000e+02 -1.26158365e-03  2.85000000e+02 -8.00000000e+00 
 2.90000000e+02 -5.97182293e-03  2.90000000e+02 -1.31380105e-03  2.90000000e+02 -8.00000000e+00 
 2.95000000e+02 -6.21405649e-03  2.95000000e+02 -1.36709243e-03  2.95000000e+02 -8.00000000e+00 
 3.00000000e+02 -6.46117238e-03  3.00000000e+02 -1.42145792e-03  3.00000000e+02 -8.00000000e+00 
 3.05000000e+02 -6.71317113e-03  3.05000000e+02 -1.47689765e-03  3.05000000e+02 -8.00000000e+00 
 3.10000000e+02 -6.97005326e-03  3.10000000e+02 -1.53341172e-03  3.10000000e+02 -8.00000000e+00 
 3.15000000e+02 -7.23181924e-03  3.15000000e+02 -1.59100023e-03  3.15000000e+02 -8.00000000e+00 
 3.20000000e+02 -7.49846951e-03  3.20000000e+02 -1.64966329e-03  3.20000000e+02 -8.00000000e+00 
 3.25000000e+02 -7.77000451e-03  3.25000000e+02 -1.70940099e-03  3.25000000e+02 -8.00000000e+00 
 3.30000000e+02 -8.04642461e-03  3.30000000e+02 -1.77021341e-03  3.30000000e+02 -8.00000000e+00 
 3.35000000e+02 -8.32773019e-03  3.35000000e+02 -1.83210064e-03  3.35000000e+02 -8.00000000e+00 
 3.40000000e+02 -8.61392161e-03  3.40000000e+02 -1.89506275e-03  3.40000000e+02 -8.00000000e+00 
 3.45000000e+02 -8.90499919e-03  3.45000000e+02 -1.95909982e-03  3.45000000e+02 -8.00000000e+00 
 3.50000000e+02 -9.20096324e-03  3.50000000e+02 -2.02421191e-03  3.50000000e+02 -8.00000000e+00 
